Date,Strawberry
12/22/2013,1.721569345
12/23/2013,1.713057802
12/24/2013,1.717922435
12/25/2013,1.707406745
12/26/2013,1.685742722
12/27/2013,1.656911657
12/28/2013,1.649588332
12/29/2013,1.640730605
12/30/2013,1.632075295
12/31/2013,1.630607233
1/1/2014,1.632221208
1/2/2014,1.554986016
1/3/2014,1.581580029
1/4/2014,1.529933021
1/5/2014,1.482056037
1/6/2014,1.552464828
1/7/2014,1.553466455
1/8/2014,1.458851085
1/9/2014,1.584077791
1/10/2014,1.667332039
1/11/2014,1.359625981
1/12/2014,1.359625981
1/13/2014,1.359625981
1/14/2014,1.359625981
1/15/2014,1.359625981
1/16/2014,1.359625981
1/17/2014,1.359625981
1/18/2014,1.359625981
1/19/2014,1.359625981
1/20/2014,1.359592632
1/21/2014,1.359592632
1/22/2014,1.359592632
1/23/2014,1.359592632
1/24/2014,1.359592632
1/25/2014,1.359592632
1/26/2014,1.359592632
1/27/2014,1.359592632
1/28/2014,1.359592632
1/29/2014,1.359592632
1/30/2014,1.359592632
1/31/2014,1.359592632
2/1/2014,1.35956286
2/2/2014,1.35956286
2/3/2014,1.35956286
2/4/2014,1.35956286
2/5/2014,1.35956286
2/6/2014,1.35956286
2/7/2014,1.35956286
2/8/2014,1.35956286
2/9/2014,1.35956286
2/10/2014,1.35956286
2/11/2014,1.35956286
2/12/2014,1.35956286
2/13/2014,1.3595372
2/14/2014,1.3595372
2/15/2014,1.3595372
2/16/2014,1.3595372
2/17/2014,1.3595372
2/18/2014,1.3595372
2/19/2014,1.3595372
2/20/2014,1.3595372
2/21/2014,1.3595372
2/22/2014,1.3595372
2/23/2014,1.3595372
2/24/2014,1.3595372
2/25/2014,1.359513775
2/26/2014,1.359513775
2/27/2014,1
2/28/2014,1
3/1/2014,0.97883527
3/2/2014,0.971277878
3/3/2014,1
3/4/2014,1
3/5/2014,1.17
3/6/2014,1.17
3/7/2014,1.17
3/8/2014,1.180601583
3/9/2014,1.178810225
3/10/2014,1.06
3/11/2014,1.06
3/12/2014,1.06
3/13/2014,1.06
3/14/2014,1.06
3/15/2014,1.071577475
3/16/2014,1.062341557
3/17/2014,1.06
3/18/2014,1.06
3/19/2014,1.06
3/20/2014,1.06
3/21/2014,1.06
3/22/2014,1.070138917
3/23/2014,1.08027722
3/24/2014,1.06
3/25/2014,0.94
3/26/2014,0.89
3/27/2014,0.78
3/28/2014,0.78
3/29/2014,0.803619475
3/30/2014,0.871613786
3/31/2014,0.78
4/1/2014,0.78
4/2/2014,0.78
4/3/2014,0.89
4/4/2014,0.94
4/5/2014,0.996204898
4/6/2014,1.069341407
4/7/2014,1.06
4/8/2014,1.06
4/9/2014,1.11
4/10/2014,1.17
4/11/2014,1.17
4/12/2014,1.229133472
4/13/2014,1.239763693
4/14/2014,1.17
4/15/2014,1.17
4/16/2014,1.12
4/17/2014,1.07
4/18/2014,1.07
4/19/2014,1.075034574
4/20/2014,1.122412131
4/21/2014,1.07
4/22/2014,1.01
4/23/2014,0.96
4/24/2014,0.95
4/25/2014,0.96
4/26/2014,0.990944014
4/27/2014,1.015667901
4/28/2014,1.07
4/29/2014,1.17
4/30/2014,1.18
5/1/2014,1.18
5/2/2014,1.18
5/3/2014,1.18928139
5/4/2014,1.233807311
5/5/2014,1.18
5/6/2014,1.18
5/7/2014,1.18
5/8/2014,1.18
5/9/2014,1.18
5/10/2014,1.183675573
5/11/2014,1.196267203
5/12/2014,1.18
5/13/2014,1.07
5/14/2014,1.07
5/15/2014,1.07
5/16/2014,1.07
5/17/2014,1.066730902
5/18/2014,1.084442244
5/19/2014,1.07
5/20/2014,1.07
5/21/2014,0.96
5/22/2014,0.96
5/23/2014,0.96
5/24/2014,0.956151829
5/25/2014,0.965947524
5/26/2014,0.971753523
5/27/2014,0.85
5/28/2014,0.74
5/29/2014,0.74
5/30/2014,0.74
5/31/2014,0.723317937
6/1/2014,0.748767362
6/2/2014,0.74
6/3/2014,0.74
6/4/2014,0.74
6/5/2014,0.72
6/6/2014,0.83
6/7/2014,0.843266145
6/8/2014,0.842010603
6/9/2014,0.89
6/10/2014,0.89
6/11/2014,0.89
6/12/2014,0.94
6/13/2014,0.94
6/14/2014,0.9493628
6/15/2014,0.94406347
6/16/2014,1
6/17/2014,1
6/18/2014,1
6/19/2014,1.06
6/20/2014,1.06
6/21/2014,1.064138458
6/22/2014,1.068510637
6/23/2014,1.06
6/24/2014,1.06
6/25/2014,1.06
6/26/2014,1.06
6/27/2014,1.06
6/28/2014,1.064895288
6/29/2014,1.062125192
6/30/2014,1.06
7/1/2014,1.06
7/2/2014,1
7/3/2014,1
7/4/2014,0.997757808
7/5/2014,0.990695283
7/6/2014,0.997324899
7/7/2014,1
7/8/2014,0.94
7/9/2014,0.94
7/10/2014,0.94
7/11/2014,0.94
7/12/2014,0.938422874
7/13/2014,0.953508065
7/14/2014,0.94
7/15/2014,0.94
7/16/2014,0.94
7/17/2014,0.94
7/18/2014,0.94
7/19/2014,0.945003138
7/20/2014,0.959629223
7/21/2014,0.94
7/22/2014,0.83
7/23/2014,0.83
7/24/2014,0.83
7/25/2014,0.83
7/26/2014,0.83662361
7/27/2014,0.856333867
7/28/2014,0.83
7/29/2014,0.83
7/30/2014,0.83
7/31/2014,0.83
8/1/2014,0.83
8/2/2014,0.84260735
8/3/2014,0.858186156
8/4/2014,0.83
8/5/2014,0.83
8/6/2014,0.83
8/7/2014,0.83
8/8/2014,0.83
8/9/2014,0.847959385
8/10/2014,0.866235778
8/11/2014,0.94
8/12/2014,0.94
8/13/2014,0.94
8/14/2014,0.94
8/15/2014,0.94
8/16/2014,0.960671351
8/17/2014,0.97023128
8/18/2014,1.06
8/19/2014,1.06
8/20/2014,1.06
8/21/2014,1.31
8/22/2014,1.31
8/23/2014,1.336033092
8/24/2014,1.356064186
8/25/2014,1.39
8/26/2014,1.39
8/27/2014,1.44
8/28/2014,1.44
8/29/2014,1.44
8/30/2014,1.444423751
8/31/2014,1.448841707
9/1/2014,1.450182275
9/2/2014,1.56
9/3/2014,1.56
9/4/2014,1.67
9/5/2014,1.78
9/6/2014,1.816961393
9/7/2014,1.843775973
9/8/2014,1.78
9/9/2014,1.78
9/10/2014,1.78
9/11/2014,1.78
9/12/2014,1.94
9/13/2014,1.97048907
9/14/2014,1.986352191
9/15/2014,1.89
9/16/2014,1.89
9/17/2014,1.89
9/18/2014,1.83
